ISO8601,fromDate,toDate,bedtime,waketime,inBed,awake,fellAsleepIn,sessions,asleep,asleepAvg7,efficiency,efficiencyAvg7,quality,qualityAvg7,deep,deepAvg7,sleepBPM,sleepBPMAvg7,dayBPM,dayBPMAvg7,wakingBPM,wakingBPMAvg7,hrv,hrvAvg7,SpO2Avg,SpO2Min,SpO2Max,tags,notes
2021-05-30T20:59:59+02:00,"sábado, 29 de may de 2021","domingo, 30 de may de 2021",2021-05-30 02:02:00,2021-05-30 08:52:00,07:23:00,00:00:00,00:00:00,2,07:23:00,05:50:20,100.0,99.7,06:35:28,05:10:06,03:49:06,02:37:21,60.0,58.1,73.0,70.9,59.0,57.0,9,20,,,,,
2021-05-31T20:59:59+02:00,"domingo, 30 de may de 2021","lunes, 31 de may de 2021",2021-05-31 01:02:00,2021-05-31 06:15:00,05:13:00,00:00:00,00:00:00,1,05:13:00,05:45:00,100.0,99.7,03:59:45,05:00:03,01:44:20,02:29:47,58.5,58.1,69.2,70.6,60.0,57.4,38,23,,,,,
2021-06-01T20:59:59+02:00,"lunes, 31 de may de 2021","martes, 1 de jun de 2021",2021-06-01 01:45:00,2021-06-01 06:15:00,04:30:00,00:00:00,00:00:00,1,04:30:00,05:53:42,100.0,99.7,03:39:24,05:06:03,01:00:00,02:25:33,58.4,58.5,67.5,70.8,60.0,58.0,50,27,,,,,
2021-06-02T20:59:59+02:00,"martes, 1 de jun de 2021","miércoles, 2 de jun de 2021",2021-06-02 00:20:00,2021-06-02 06:30:00,06:10:00,00:26:00,00:00:00,1,05:44:00,05:55:42,93.0,98.7,04:49:12,05:06:49,01:59:39,02:25:30,56.1,58.8,68.0,71.3,53.0,58.1,78,32,,,,,
2021-06-03T20:59:59+02:00,"miércoles, 2 de jun de 2021","jueves, 3 de jun de 2021",2021-06-03 02:30:00,2021-06-03 06:15:00,03:45:00,00:00:00,00:00:00,1,03:45:00,05:53:34,100.0,98.7,03:06:02,05:01:22,01:15:00,02:19:05,56.9,58.8,68.2,71.2,55.0,57.6,33,33,,,,,
2021-06-04T20:59:59+02:00,"jueves, 3 de jun de 2021","viernes, 4 de jun de 2021",2021-06-04 00:21:00,2021-06-04 06:30:00,06:09:00,00:00:00,00:00:00,1,06:09:00,05:56:25,100.0,98.7,05:03:15,05:03:08,01:16:52,02:12:55,60.2,58.6,,,56.0,56.9,73,42,,,,,
